genus	number
ABIES	10
ACER	659
AESCULUS	103
AMELANCHIER	11
BETULA	81
CALOCEDRUS	1
CARPINUS	124
CATALPA	4
CEDRUS	6
CELTIS	4
CERCIDIPHYLLUM	62
CHAMAECYPARIS	17
CORNUS	35
CORYLUS	1
CRATAEGUS	124
DAVIDIA	1
FAGUS	72
FRAXINUS	346
GINKGO	4
GLEDITSIA	71
ILEX	3
JUGLANS	15
JUNIPERUS	2
LABURNUM	2
LIQUIDAMBAR	29
LIRIODENDRON	41
MAGNOLIA	157
MALUS	198
MESPILUS	6
METASEQUOIA	74
NOTHOFAGUS	1
NYSSA	26
PARROTIA	26
PICEA	2
PINUS	32
PLATANUS	93
POPULUS	1
PRUNUS	1338
PSEUDOTSUGA	16
PTEROCARYA	1
PYRUS	85
QUERCUS	39
ROBINIA	8
SALIX	1
SEQUOIADENDRON	11
SORBUS	53
STYRAX	16
SYRINGA	31
THUJA	11
TILIA	96
TSUGA	5
ULMUS	140
ZELKOVA	34
