genus	number
ABIES	115
ACER	30403
AESCULUS	2268
AILANTHUS	3
ALBIZIA	1
ALNUS	44
AMELANCHIER	170
ARALIA	2
ARAUCARIA	6
ARBUTUS	7
BETULA	1549
CALOCEDRUS	20
CARPINUS	4633
CASTANEA	51
CATALPA	512
CEDRUS	235
CELTIS	191
CERCIDIPHYLLUM	1653
CERCIS	365
CHAMAECYPARIS	566
CHITALPA	5
CLADRASTIS	32
CLERODENDRON	2
CORNUS	1784
CORYLUS	81
CRATAEGUS	3329
CRYPTOMERIA	8
CUPRESSOCYPARIS   X	1
DAVIDIA	122
EUCOMMIA	15
EUONYMUS	13
FAGUS	3702
FICUS	5
FRAXINUS	6545
GINKGO	190
GLEDITSIA	1364
HIBISCUS	173
HIPPOPHAE	3
ILEX	146
JUGLANS	130
JUNIPERUS	66
KALOPANAX	1
KOELREUTERIA	23
LABURNUM	91
LARIX	11
LAURUS	1
LIQUIDAMBAR	1462
LIRIODENDRON	862
LTF SPECIMEN	26
MAGNOLIA	3131
MALUS	3712
MANGLIETIA	10
MESPILUS	18
METASEQUOIA	337
MORUS	6
NOTHOFAGUS	27
NYSSA	285
OSTRYIA	20
OXYDENDRUM	2
PARROTIA	1231
PAULOWNIA	8
PHELLODENDON	5
PICEA	283
PINUS	602
PLATANUS	1524
POPULUS	127
PRUNUS	27536
PSEUDOTSUGA	566
PTELEA	3
PTEROCARYA	25
PTEROSTYRAX	3
PYRUS	1831
QUERCUS	5168
RHAMNUS	8
RHUS	15
ROBINIA	474
SALIX	50
SCIADOPITYS	3
SEQUOIA	5
SEQUOIADENDRON	102
SOPHORA	14
SORBUS	1447
STEWARTIA	159
STYRAX	1088
SYRINGA	1041
TAXODIUM	10
TAXUS	27
THUJA	915
TILIA	5982
TRACHYCARPUS	7
TSUGA	124
ULMUS	2657
VIBURNUM	5
ZELKOVA	313
