genus	number
ABIES	10
ACER	2170
AESCULUS	256
ALNUS	9
AMELANCHIER	3
ARAUCARIA	2
ARBUTUS	1
BETULA	161
CARPINUS	59
CASTANEA	9
CATALPA	28
CEDRUS	20
CELTIS	19
CERCIDIPHYLLUM	130
CERCIS	1
CHAMAECYPARIS	35
CLADRASTIS	1
CORNUS	65
CORYLUS	1
CRATAEGUS	148
CRYPTOMERIA	1
DAVIDIA	4
EUONYMUS	1
FAGUS	122
FICUS	1
FRAXINUS	190
GINKGO	7
GLEDITSIA	54
HIBISCUS	1
ILEX	10
JUGLANS	10
JUNIPERUS	1
LABURNUM	10
LARIX	1
LIQUIDAMBAR	31
LIRIODENDRON	7
LTF SPECIMEN	8
MAGNOLIA	79
MALUS	250
MANGLIETIA	1
METASEQUOIA	8
MORUS	1
NYSSA	15
PARROTIA	59
PAULOWNIA	4
PICEA	43
PINUS	44
PLATANUS	162
POPULUS	10
PRUNUS	2151
PSEUDOTSUGA	39
PYRUS	29
QUERCUS	610
RHUS	4
ROBINIA	34
SALIX	2
SEQUOIADENDRON	18
SORBUS	69
STEWARTIA	16
STYRAX	77
SYRINGA	20
THUJA	43
TILIA	94
TSUGA	10
ULMUS	439
ZELKOVA	18
