genus	number
ABIES	3
ACER	1180
AESCULUS	41
ARBUTUS	1
BETULA	28
CARPINUS	106
CATALPA	16
CEDRUS	6
CERCIDIPHYLLUM	21
CHAMAECYPARIS	5
CORNUS	21
CRATAEGUS	38
DAVIDIA	3
EUONYMUS	2
FAGUS	90
FRAXINUS	128
GINKGO	2
GLEDITSIA	88
HIBISCUS	10
ILEX	1
KOELREUTERIA	1
LIQUIDAMBAR	30
LIRIODENDRON	49
MAGNOLIA	29
MALUS	58
METASEQUOIA	3
NOTHOFAGUS	1
NYSSA	6
PARROTIA	10
PAULOWNIA	2
PICEA	8
PINUS	36
PLATANUS	18
POPULUS	1
PRUNUS	539
PSEUDOTSUGA	2
PYRUS	48
QUERCUS	172
ROBINIA	6
SALIX	1
SEQUOIA	1
SEQUOIADENDRON	1
SORBUS	10
STYRAX	34
SYRINGA	67
TAXUS	2
THUJA	9
TILIA	193
TSUGA	4
ULMUS	97
