genus	number
ABIES	2
ACER	1539
AESCULUS	81
ALNUS	2
AMELANCHIER	4
BETULA	61
CARPINUS	337
CASTANEA	2
CATALPA	21
CEDRUS	1
CELTIS	2
CERCIDIPHYLLUM	49
CERCIS	13
CHAMAECYPARIS	14
CORNUS	47
CORYLUS	1
CRATAEGUS	121
DAVIDIA	7
EUONYMUS	1
FAGUS	215
FRAXINUS	254
GINKGO	13
GLEDITSIA	3
HIBISCUS	11
HIPPOPHAE	3
ILEX	7
JUGLANS	2
JUNIPERUS	2
LIQUIDAMBAR	35
LIRIODENDRON	31
MAGNOLIA	138
MALUS	185
METASEQUOIA	1
NYSSA	10
PARROTIA	81
PICEA	8
PINUS	13
PLATANUS	53
POPULUS	5
PRUNUS	959
PSEUDOTSUGA	6
PTEROCARYA	1
PYRUS	62
QUERCUS	274
ROBINIA	10
SALIX	3
SORBUS	57
STEWARTIA	3
STYRAX	74
SYRINGA	29
THUJA	40
TILIA	294
TSUGA	2
ULMUS	266
ZELKOVA	13
