genus	number
ABIES	6
ACER	2062
AESCULUS	79
ALNUS	1
AMELANCHIER	48
ARALIA	1
BETULA	28
CALOCEDRUS	1
CARPINUS	474
CASTANEA	6
CATALPA	18
CEDRUS	20
CELTIS	2
CERCIDIPHYLLUM	154
CERCIS	35
CHAMAECYPARIS	25
CHITALPA	3
CORNUS	163
CORYLUS	7
CRATAEGUS	519
DAVIDIA	2
EUONYMUS	9
FAGUS	229
FRAXINUS	486
GINKGO	15
GLEDITSIA	99
HIBISCUS	33
ILEX	2
JUGLANS	3
JUNIPERUS	2
KOELREUTERIA	20
LABURNUM	14
LARIX	1
LIQUIDAMBAR	144
LIRIODENDRON	43
LTF SPECIMEN	4
MAGNOLIA	277
MALUS	343
MANGLIETIA	2
METASEQUOIA	57
MORUS	2
NOTHOFAGUS	2
NYSSA	25
PARROTIA	62
PICEA	21
PINUS	90
PLATANUS	65
POPULUS	3
PRUNUS	1693
PSEUDOTSUGA	21
PTEROCARYA	1
PYRUS	138
QUERCUS	326
RHAMNUS	1
RHUS	1
ROBINIA	65
SALIX	2
SEQUOIA	2
SEQUOIADENDRON	1
SORBUS	251
STEWARTIA	2
STYRAX	78
SYRINGA	103
TAXUS	3
THUJA	32
TILIA	323
TSUGA	10
ULMUS	1
ZELKOVA	22
