genus	number
ABIES	8
ACER	2195
AESCULUS	199
ALNUS	3
AMELANCHIER	7
BETULA	85
CALOCEDRUS	3
CARPINUS	508
CASTANEA	10
CATALPA	3
CEDRUS	10
CELTIS	33
CERCIDIPHYLLUM	87
CERCIS	29
CHAMAECYPARIS	51
CLADRASTIS	1
CORNUS	114
CORYLUS	6
CRATAEGUS	330
CRYPTOMERIA	1
DAVIDIA	11
FAGUS	437
FRAXINUS	1143
GINKGO	9
GLEDITSIA	58
HIBISCUS	6
ILEX	12
JUGLANS	12
JUNIPERUS	7
LABURNUM	14
LIQUIDAMBAR	60
LIRIODENDRON	78
LTF SPECIMEN	1
MAGNOLIA	284
MALUS	319
METASEQUOIA	17
NOTHOFAGUS	3
NYSSA	42
OXYDENDRUM	1
PARROTIA	64
PICEA	26
PINUS	21
PLATANUS	54
POPULUS	13
PRUNUS	1792
PSEUDOTSUGA	52
PYRUS	122
QUERCUS	388
RHAMNUS	2
RHUS	3
ROBINIA	56
SALIX	3
SEQUOIADENDRON	1
SORBUS	118
STEWARTIA	4
STYRAX	102
SYRINGA	75
THUJA	81
TILIA	651
TRACHYCARPUS	1
TSUGA	13
ULMUS	28
ZELKOVA	5
