genus	number
ABIES	4
ACER	1766
AESCULUS	126
ALNUS	9
AMELANCHIER	4
ARBUTUS	1
BETULA	233
CARPINUS	61
CASTANEA	1
CATALPA	29
CEDRUS	5
CELTIS	2
CERCIDIPHYLLUM	165
CERCIS	8
CHAMAECYPARIS	22
CORNUS	171
CORYLUS	3
CRATAEGUS	73
DAVIDIA	11
FAGUS	84
FRAXINUS	236
GINKGO	1
GLEDITSIA	72
HIBISCUS	13
ILEX	9
JUGLANS	7
LIQUIDAMBAR	32
LIRIODENDRON	5
MAGNOLIA	308
MALUS	227
METASEQUOIA	10
NYSSA	2
OXYDENDRUM	1
PARROTIA	54
PICEA	2
PINUS	18
PLATANUS	58
POPULUS	19
PRUNUS	1455
PSEUDOTSUGA	26
PYRUS	13
QUERCUS	273
ROBINIA	38
SALIX	10
SCIADOPITYS	1
SORBUS	49
STEWARTIA	3
STYRAX	64
SYRINGA	13
TAXODIUM	5
TAXUS	3
THUJA	59
TILIA	155
TSUGA	3
ULMUS	264
ZELKOVA	41
