genus	number
ABIES	1
ACER	1015
ALNUS	3
BETULA	36
CARPINUS	318
CATALPA	7
CEDRUS	1
CELTIS	16
CERCIDIPHYLLUM	81
CERCIS	29
CHAMAECYPARIS	15
CORNUS	155
CORYLUS	6
CRATAEGUS	126
DAVIDIA	1
FAGUS	69
FRAXINUS	335
GINKGO	11
GLEDITSIA	29
HIBISCUS	2
ILEX	1
JUGLANS	6
LABURNUM	3
LIQUIDAMBAR	69
LIRIODENDRON	9
LTF SPECIMEN	4
MAGNOLIA	159
MALUS	78
METASEQUOIA	55
NYSSA	16
OSTRYIA	10
PARROTIA	13
PICEA	2
PINUS	23
PLATANUS	57
POPULUS	2
PRUNUS	1052
PSEUDOTSUGA	35
PYRUS	49
QUERCUS	259
ROBINIA	3
SALIX	2
SORBUS	36
STYRAX	11
SYRINGA	80
THUJA	19
TILIA	605
TSUGA	2
ULMUS	43
ZELKOVA	10
