genus	number
ABIES	10
ACER	1922
AESCULUS	282
AILANTHUS	1
ALNUS	5
AMELANCHIER	1
ARAUCARIA	2
ARBUTUS	1
BETULA	49
CALOCEDRUS	2
CARPINUS	157
CASTANEA	1
CATALPA	183
CEDRUS	31
CERCIDIPHYLLUM	58
CERCIS	4
CHAMAECYPARIS	57
CLADRASTIS	1
CORNUS	70
CORYLUS	1
CRATAEGUS	156
CRYPTOMERIA	2
CUPRESSOCYPARIS   X	1
DAVIDIA	1
FAGUS	198
FRAXINUS	188
GINKGO	3
GLEDITSIA	63
HIBISCUS	5
ILEX	20
JUGLANS	7
JUNIPERUS	2
KOELREUTERIA	1
LABURNUM	5
LIQUIDAMBAR	44
LIRIODENDRON	92
MAGNOLIA	315
MALUS	113
MANGLIETIA	2
MESPILUS	8
METASEQUOIA	13
NOTHOFAGUS	1
NYSSA	8
OSTRYIA	2
PARROTIA	56
PICEA	30
PINUS	43
PLATANUS	114
POPULUS	3
PRUNUS	993
PSEUDOTSUGA	33
PYRUS	87
QUERCUS	398
RHUS	1
ROBINIA	20
SALIX	5
SEQUOIADENDRON	12
SOPHORA	6
SORBUS	61
STEWARTIA	3
STYRAX	114
SYRINGA	60
TAXUS	1
THUJA	50
TILIA	509
TSUGA	9
ULMUS	132
ZELKOVA	2
