genus	number
ABIES	1
ACER	1273
AESCULUS	79
ALNUS	2
AMELANCHIER	17
BETULA	53
CARPINUS	327
CATALPA	8
CEDRUS	12
CELTIS	6
CERCIDIPHYLLUM	55
CERCIS	18
CHAMAECYPARIS	51
CHITALPA	1
CLADRASTIS	1
CLERODENDRON	2
CORNUS	182
CORYLUS	1
CRATAEGUS	124
DAVIDIA	1
FAGUS	105
FRAXINUS	363
GINKGO	2
GLEDITSIA	29
HIBISCUS	4
ILEX	6
JUGLANS	2
JUNIPERUS	1
LABURNUM	6
LIQUIDAMBAR	86
LIRIODENDRON	34
MAGNOLIA	96
MALUS	201
METASEQUOIA	8
NOTHOFAGUS	10
NYSSA	7
PARROTIA	95
PICEA	13
PINUS	27
PLATANUS	47
POPULUS	13
PRUNUS	1605
PSEUDOTSUGA	36
PYRUS	84
QUERCUS	237
RHUS	1
ROBINIA	22
SALIX	3
SEQUOIADENDRON	3
SORBUS	52
STYRAX	51
SYRINGA	64
THUJA	69
TILIA	83
TSUGA	8
ULMUS	58
ZELKOVA	23
