genus	number
ABIES	4
ACER	1218
AESCULUS	213
ALNUS	1
BETULA	31
CARPINUS	187
CATALPA	1
CEDRUS	4
CERCIDIPHYLLUM	65
CERCIS	16
CHAMAECYPARIS	25
CLADRASTIS	8
CORNUS	38
CRATAEGUS	65
DAVIDIA	9
FAGUS	149
FRAXINUS	129
GINKGO	15
GLEDITSIA	31
HIBISCUS	6
ILEX	7
LABURNUM	1
LIQUIDAMBAR	134
LIRIODENDRON	29
MAGNOLIA	40
MALUS	60
METASEQUOIA	9
NYSSA	13
OSTRYIA	5
PARROTIA	48
PICEA	5
PINUS	12
PLATANUS	28
PRUNUS	1087
PSEUDOTSUGA	3
PYRUS	265
QUERCUS	233
RHUS	1
ROBINIA	33
SEQUOIADENDRON	4
SOPHORA	1
SORBUS	48
STEWARTIA	25
STYRAX	27
SYRINGA	40
THUJA	21
TILIA	256
TSUGA	1
ULMUS	65
