genus	number
ABIES	4
ACER	779
AESCULUS	5
ARAUCARIA	1
BETULA	36
CALOCEDRUS	2
CARPINUS	41
CATALPA	1
CEDRUS	14
CELTIS	3
CERCIDIPHYLLUM	186
CHAMAECYPARIS	52
CLADRASTIS	1
CORNUS	67
CORYLUS	1
CRATAEGUS	72
DAVIDIA	7
FAGUS	80
FRAXINUS	243
GLEDITSIA	78
ILEX	1
LABURNUM	2
LIQUIDAMBAR	58
LIRIODENDRON	8
MAGNOLIA	180
MALUS	76
METASEQUOIA	3
NYSSA	11
PARROTIA	55
PHELLODENDON	2
PICEA	14
PINUS	33
PLATANUS	30
POPULUS	2
PRUNUS	1403
PSEUDOTSUGA	36
PYRUS	29
QUERCUS	208
ROBINIA	26
SALIX	1
SEQUOIADENDRON	4
SORBUS	93
STEWARTIA	40
STYRAX	4
SYRINGA	20
TAXUS	1
THUJA	66
TILIA	45
TSUGA	3
ULMUS	53
ZELKOVA	1
