genus	number
ABIES	3
ACER	2024
AESCULUS	42
AILANTHUS	1
ALNUS	2
AMELANCHIER	15
ARBUTUS	1
BETULA	37
CALOCEDRUS	1
CARPINUS	432
CASTANEA	3
CATALPA	5
CEDRUS	8
CELTIS	47
CERCIDIPHYLLUM	132
CERCIS	55
CHAMAECYPARIS	26
CORNUS	96
CORYLUS	17
CRATAEGUS	333
DAVIDIA	13
FAGUS	444
FRAXINUS	537
GINKGO	14
GLEDITSIA	74
HIBISCUS	20
ILEX	10
JUGLANS	8
JUNIPERUS	45
KALOPANAX	1
LABURNUM	3
LIQUIDAMBAR	29
LIRIODENDRON	54
MAGNOLIA	276
MALUS	466
MESPILUS	4
METASEQUOIA	4
NYSSA	6
PARROTIA	182
PICEA	30
PINUS	36
PLATANUS	72
POPULUS	13
PRUNUS	2279
PSEUDOTSUGA	78
PTEROCARYA	1
PYRUS	197
QUERCUS	254
ROBINIA	28
SALIX	6
SEQUOIA	1
SEQUOIADENDRON	1
SOPHORA	5
SORBUS	146
STEWARTIA	24
STYRAX	84
SYRINGA	242
TAXODIUM	1
TAXUS	2
THUJA	133
TILIA	535
TSUGA	14
ULMUS	11
ZELKOVA	47
