genus	number
ABIES	3
ACER	1471
AESCULUS	62
ALNUS	3
AMELANCHIER	2
ARALIA	1
ARBUTUS	1
BETULA	39
CALOCEDRUS	1
CARPINUS	251
CASTANEA	2
CATALPA	15
CEDRUS	10
CELTIS	6
CERCIDIPHYLLUM	30
CERCIS	29
CHAMAECYPARIS	19
CORNUS	76
CORYLUS	1
CRATAEGUS	115
DAVIDIA	11
FAGUS	204
FRAXINUS	315
GINKGO	3
GLEDITSIA	96
HIBISCUS	3
ILEX	8
JUGLANS	3
KOELREUTERIA	1
LABURNUM	2
LIQUIDAMBAR	118
LIRIODENDRON	25
MAGNOLIA	161
MALUS	180
MANGLIETIA	2
METASEQUOIA	2
NOTHOFAGUS	1
NYSSA	15
PARROTIA	169
PICEA	21
PINUS	16
PLATANUS	30
POPULUS	24
PRUNUS	1541
PSEUDOTSUGA	25
PTEROCARYA	19
PYRUS	84
QUERCUS	180
RHAMNUS	4
RHUS	1
ROBINIA	13
SALIX	3
SEQUOIADENDRON	6
SORBUS	43
STYRAX	88
SYRINGA	13
TAXODIUM	1
TAXUS	1
THUJA	71
TILIA	370
TSUGA	8
ULMUS	31
ZELKOVA	7
