genus	number
ABIES	5
ACER	1642
AESCULUS	302
ARAUCARIA	1
BETULA	100
CALOCEDRUS	4
CARPINUS	56
CASTANEA	12
CATALPA	29
CEDRUS	19
CELTIS	13
CERCIDIPHYLLUM	86
CERCIS	13
CHAMAECYPARIS	31
CORNUS	54
CRATAEGUS	125
DAVIDIA	15
FAGUS	23
FRAXINUS	128
GINKGO	7
GLEDITSIA	85
HIBISCUS	6
ILEX	12
JUGLANS	4
JUNIPERUS	3
LAURUS	1
LIQUIDAMBAR	91
LIRIODENDRON	12
MAGNOLIA	106
MALUS	148
METASEQUOIA	9
NYSSA	1
OSTRYIA	1
PARROTIA	46
PICEA	7
PINUS	14
PLATANUS	210
POPULUS	2
PRUNUS	1090
PSEUDOTSUGA	16
PYRUS	16
QUERCUS	42
ROBINIA	29
SCIADOPITYS	2
SEQUOIADENDRON	8
SORBUS	42
STEWARTIA	16
STYRAX	108
SYRINGA	6
TAXUS	10
THUJA	50
TILIA	203
TSUGA	6
ULMUS	598
ZELKOVA	16
