genus	number
ABIES	1
ACER	373
AESCULUS	19
ALBIZIA	1
AMELANCHIER	15
BETULA	7
CALOCEDRUS	2
CARPINUS	161
CATALPA	1
CEDRUS	1
CELTIS	1
CERCIS	42
CHAMAECYPARIS	3
CLADRASTIS	1
CORNUS	50
CRATAEGUS	23
FAGUS	107
FICUS	1
FRAXINUS	54
GINKGO	6
GLEDITSIA	57
JUGLANS	1
MAGNOLIA	16
MALUS	14
MORUS	1
NOTHOFAGUS	2
NYSSA	3
PARROTIA	41
PICEA	4
PINUS	71
PLATANUS	17
PRUNUS	232
PSEUDOTSUGA	6
PTEROSTYRAX	1
PYRUS	140
QUERCUS	137
RHAMNUS	1
ROBINIA	4
SALIX	1
SEQUOIADENDRON	2
SORBUS	21
STYRAX	3
SYRINGA	17
TAXUS	2
THUJA	27
TILIA	131
TSUGA	3
ULMUS	64
ZELKOVA	1
