genus	number
ABIES	1
ACER	1730
AESCULUS	49
AILANTHUS	1
AMELANCHIER	13
ARBUTUS	1
BETULA	78
CARPINUS	411
CATALPA	8
CEDRUS	14
CELTIS	17
CERCIDIPHYLLUM	83
CERCIS	12
CHAMAECYPARIS	22
CLADRASTIS	9
CORNUS	49
CORYLUS	16
CRATAEGUS	234
DAVIDIA	7
EUCOMMIA	9
FAGUS	208
FICUS	3
FRAXINUS	481
GINKGO	2
GLEDITSIA	103
HIBISCUS	32
ILEX	16
JUGLANS	5
JUNIPERUS	1
LABURNUM	7
LIQUIDAMBAR	98
LIRIODENDRON	84
LTF SPECIMEN	3
MAGNOLIA	59
MALUS	188
METASEQUOIA	26
NYSSA	6
OSTRYIA	2
PARROTIA	44
PAULOWNIA	2
PICEA	12
PINUS	25
PLATANUS	72
POPULUS	5
PRUNUS	1973
PSEUDOTSUGA	37
PTELEA	1
PTEROSTYRAX	2
PYRUS	190
QUERCUS	262
ROBINIA	13
SALIX	2
SORBUS	94
STEWARTIA	1
STYRAX	44
SYRINGA	19
TAXUS	1
THUJA	21
TILIA	447
TSUGA	4
ULMUS	14
VIBURNUM	5
ZELKOVA	51
