genus	number
ABIES	18
ACER	1099
AESCULUS	61
ALNUS	1
AMELANCHIER	5
BETULA	61
CARPINUS	234
CASTANEA	4
CATALPA	1
CEDRUS	23
CELTIS	15
CERCIDIPHYLLUM	46
CERCIS	15
CHAMAECYPARIS	19
CLADRASTIS	8
CORNUS	79
CORYLUS	2
CRATAEGUS	256
FAGUS	349
FRAXINUS	546
GINKGO	9
GLEDITSIA	77
HIBISCUS	2
ILEX	4
JUGLANS	12
LABURNUM	6
LARIX	7
LIQUIDAMBAR	59
LIRIODENDRON	20
LTF SPECIMEN	5
MAGNOLIA	227
MALUS	176
MANGLIETIA	3
METASEQUOIA	14
MORUS	1
NOTHOFAGUS	6
NYSSA	4
PARROTIA	52
PICEA	7
PINUS	4
PLATANUS	80
POPULUS	6
PRUNUS	2154
PSEUDOTSUGA	48
PYRUS	58
QUERCUS	298
ROBINIA	32
SALIX	3
SEQUOIA	1
SEQUOIADENDRON	6
SOPHORA	2
SORBUS	140
STYRAX	26
SYRINGA	69
THUJA	33
TILIA	453
TSUGA	12
ULMUS	29
ZELKOVA	17
