genus	number
ABIES	17
ACER	1128
AESCULUS	159
ALNUS	3
AMELANCHIER	23
BETULA	159
CARPINUS	22
CATALPA	80
CEDRUS	9
CELTIS	5
CERCIDIPHYLLUM	76
CERCIS	29
CHAMAECYPARIS	21
CLADRASTIS	1
CORNUS	128
CORYLUS	4
CRATAEGUS	91
DAVIDIA	2
FAGUS	31
FRAXINUS	152
GINKGO	3
GLEDITSIA	38
HIBISCUS	13
ILEX	6
JUGLANS	12
LABURNUM	5
LIQUIDAMBAR	73
LIRIODENDRON	6
MAGNOLIA	81
MALUS	214
NYSSA	42
PARROTIA	19
PICEA	9
PINUS	16
PLATANUS	115
PRUNUS	851
PSEUDOTSUGA	36
PYRUS	35
QUERCUS	63
RHUS	3
ROBINIA	14
SEQUOIADENDRON	11
SORBUS	26
STEWARTIA	14
STYRAX	60
SYRINGA	57
THUJA	21
TILIA	153
TSUGA	5
ULMUS	157
ZELKOVA	3
